pair,d_ligand,d_receptor,p_ligand,p_receptor,n_young,n_old,mean_ligand_young,mean_ligand_old,mean_receptor_young,mean_receptor_old,p_ligand_bh,p_receptor_bh
HGF->MET,0.5921,0.3333,0.014276,1.0,5,14,-0.0992,0.1371,0.3933,0.4825,0.114208,1.0
FGF7->FGFR2,1.3095,0.5399,0.003268,0.483447,5,14,-0.3893,0.0476,0.007,0.0367,0.039216,0.966894
FGF7->FGFR1,1.3095,-0.3609,0.003268,0.546614,5,14,-0.3893,0.0476,0.4495,0.3523,0.039216,1.0
IGF2->IGF1R,-0.9844,0.8442,0.106811,0.051766,5,14,0.1689,-0.0982,0.2959,0.4858,0.427244,0.3894
IGF1->IGF1R,-0.4292,0.8442,0.256622,0.051766,5,14,-0.0413,-0.2311,0.2959,0.4858,0.684325,0.3894
PDGFA->PDGFRA,0.4106,0.137,1.0,0.67425,5,14,-0.0636,-0.0121,0.1261,0.1423,1.0,1.0
PDGFB->PDGFRB,-0.6547,-0.1012,0.185931,0.960968,5,14,-0.001,-0.028,0.042,0.0364,0.637478,1.0
CCL2->CCR2,0.3193,-0.922,0.75387,0.120233,5,14,-0.2456,-0.1426,0.0004,0.0,0.861566,0.3894
CCL7->CCR2,0.11,-0.922,0.75387,0.120233,5,14,0.0047,0.0069,0.0004,0.0,0.861566,0.3894
CXCL8->CXCR1,0.0918,0.0,0.686791,1.0,5,14,-0.0237,-0.0153,0.0,0.0,0.861566,1.0
CXCL8->CXCR2,0.0918,-0.922,0.686791,0.120233,5,14,-0.0237,-0.0153,0.0015,0.0,0.861566,0.3894
CXCL6->CXCR1,0.2433,0.0,0.55934,1.0,5,14,-0.0265,-0.0158,0.0,0.0,0.861566,1.0
CXCL6->CXCR2,0.2433,-0.922,0.55934,0.120233,5,14,-0.0265,-0.0158,0.0015,0.0,0.861566,0.3894
IL6->IL6R,0.299,1.0757,0.75387,0.096611,5,14,-0.0669,-0.0078,0.0183,0.0856,0.861566,0.3894
TNF->TNFRSF1A,0.0196,0.4839,0.686791,0.601539,5,14,-0.0104,-0.0093,0.0795,0.1464,0.861566,1.0
TNF->TNFRSF1B,0.0196,-0.6573,0.686791,1.0,5,14,-0.0104,-0.0093,0.1905,0.0593,0.861566,1.0
TGFB1->TGFBR1,-0.3357,0.1645,0.823013,1.0,5,14,0.3745,0.2203,0.1112,0.1293,0.897832,1.0
TGFB2->TGFBR1,-0.1465,0.1645,0.256622,1.0,5,14,0.0597,0.0242,0.1112,0.1293,0.684325,1.0
WNT5A->FZD2,-0.4725,-0.7785,0.342621,0.715583,5,14,0.0053,-0.0808,0.0077,0.001,0.685242,1.0
WNT5A->FZD7,-0.4725,-0.8471,0.342621,0.1298,5,14,0.0053,-0.0808,0.0216,0.0054,0.685242,0.3894
JAG1->NOTCH2,0.5309,-0.4485,0.297558,0.330145,5,14,-0.0941,-0.0137,0.5352,0.4142,0.685242,0.792348
DLL1->NOTCH2,-1.3893,-0.4485,0.043688,0.330145,5,14,0.0332,-0.0358,0.5352,0.4142,0.262128,0.792348
BMP4->BMPR1A,-1.9272,-0.3148,0.055728,0.676421,5,14,0.3302,-0.2495,0.4913,0.4171,0.267494,1.0
GDF15->GFRAL,0.2982,0.5913,0.893189,0.363234,5,14,-0.0915,-0.0503,0.0018,0.0131,0.932023,0.792511
