sample,JUNB,CDKN1A,CCL2,CXCL1,CXCL2,CXCL3,CXCL6,IL6,CXCL8,SERPINE1,MMP1,MMP3,PLAU,PLAUR,SASP12_mean,age_pop
OM1,2.311346,1.9883704,1.745918,0.1575129,1.9760176,0.40481225,0.0010534587,0.51818824,0.22117615,0.2718884,0.026199736,0.012725025,0.56738186,0.39012942,0.5244169,old_pop
OM2,2.2640433,1.8935645,1.5105906,0.04716675,1.0716746,0.13734385,0.0,0.5992055,0.13879086,0.19735691,0.0046138973,0.0,0.24380644,0.17918427,0.34414446,old_pop
OM3,2.3213475,1.7246304,0.7347625,0.034661673,1.0820518,0.10606783,0.0,0.27437577,0.06160647,0.30183882,0.00048866175,0.009730261,0.25334868,0.1140773,0.2477508,old_pop
OM4,2.5229275,2.1392815,1.7808778,0.1658929,2.2443511,0.47250837,0.0,0.22696267,0.18317579,0.3139323,0.0,0.0,0.334209,0.12479078,0.48722506,old_pop
OM5,0.6533245,0.24033892,0.13233411,0.025028508,0.40789613,0.030896248,0.0,0.090809435,0.0,0.227802,0.016499152,0.0,0.17733648,0.09059935,0.099933445,old_pop
OM6,1.2136952,0.20434612,0.14540166,0.043437302,1.1193281,0.060887992,0.0,0.02785784,0.0088577485,0.24372111,0.0,0.0,0.24800959,0.08582471,0.16527717,old_pop
OM7,1.4045302,0.5221168,0.37274775,0.06384613,1.0780355,0.07533467,0.0,0.033519987,0.0,1.168299,0.0,0.0,0.022933789,0.041345574,0.23800518,old_pop
OM8,1.7938484,1.250635,0.16695796,0.040124398,1.1307238,0.024976557,0.0,0.1971584,0.0,0.27802122,0.0,0.0,0.0,0.08489159,0.16023783,old_pop
OM9,0.27907965,0.06483783,0.15456317,0.0050879675,0.26623783,0.01910078,0.0,0.021398894,0.0015164987,0.058554623,0.002024205,0.0,0.19072698,0.061286643,0.06504147,old_pop
P3,0.3387873,0.28142363,0.37564942,0.053714667,0.8453776,0.057125177,0.0,0.12402362,0.0,0.23664,0.0,0.0,0.49398014,0.26004216,0.2038794,old_pop
P5,0.07726322,0.04065655,0.02071591,0.0,0.21788535,0.01925156,0.0,0.01765312,0.0,0.053083405,0.0,0.0,0.09571038,0.03588148,0.038348433,young_pop
P13,0.065871105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,young_pop
P17,0.0,0.0,0.0,0.0,0.070651956,0.0,0.0,0.0,0.0,0.07477072,0.0,0.0,0.06934949,0.11588459,0.02755473,old_pop
P21,0.066678174,0.051552463,0.05041474,0.005075973,0.40765345,0.04330594,0.005183624,0.018605614,0.0,0.052397907,0.0,0.0,0.10218225,0.02070458,0.058793675,old_pop
P23,0.041200254,0.0,0.18016928,0.0,0.06718389,0.009219658,0.0,0.0,0.0,0.094151326,0.0,0.0,0.09618741,0.052166443,0.041589834,old_pop
P26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1322339,0.035594665,0.013985713,young_pop
P27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04193993,0.0,0.0,0.0,0.04233946,0.0070232823,old_pop
P29,0.16489822,0.040512864,0.0,0.021190798,0.15612672,0.0,0.0,0.0303794,0.0,0.04361768,0.0,0.0,0.035710514,0.05073344,0.028146544,old_pop
YM1,0.12322372,0.043989085,0.030386988,0.0,0.11234717,0.013659547,0.0,0.0,0.0044268747,0.06635022,0.0,0.0037223601,0.088528804,0.056411315,0.03131944,young_pop
YM2,0.0,0.16571623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2516657,0.0,0.0,0.0,0.0,0.020972142,young_pop
YM3,0.016477443,0.03196671,0.014871565,0.0,0.047219317,0.010938216,0.0,0.0,0.0,0.04633442,0.0,0.0,0.112001814,0.0475353,0.02324172,young_pop
YM4,0.63279414,0.5456328,0.16453752,0.0,0.24209043,0.04862941,0.0,0.07797739,0.024048183,0.24973093,0.0,0.0111692725,0.33422047,0.09591341,0.104026414,young_pop
YM5,2.1599946,1.5435249,1.0299864,0.28517994,1.986808,0.7203772,0.0,0.40019062,0.15174013,0.13991468,0.0018585952,0.005914893,0.38810766,0.15906517,0.4390953,young_pop
