TF,N,rho,p_value,ci_95_low,ci_95_high,rank
CEBPB,13,0.8736,9.5288972903705e-05,0.6221,0.9617,1
EGR1,13,0.8681,0.00011910255980042727,0.6079,0.9599,2
EGR2,13,0.8626,0.00014744785947619764,0.594,0.9582,3
ATF3,13,0.8352,0.0003802080801851202,0.5264,0.9493,4
FOS,13,0.8132,0.0007236077236996977,0.475,0.9421,5
JUND,13,0.8022,0.0009687789139250084,0.4502,0.9384,6
FOSB,13,0.7857,0.0014541896038438224,0.4139,0.9329,7
JUNB,13,0.7143,0.006088305245824148,0.2693,0.9079,8
CDKN1A,13,0.6868,0.009509496050393583,0.2185,0.898,9
KLF10,13,0.6813,0.010340409451492895,0.2087,0.896,10
JUN,13,0.6319,0.020516042572872466,0.1241,0.8774,11
CEBPD,13,0.6154,0.02516711655189929,0.0974,0.871,12
IRF1,13,0.5989,0.030554114172937866,0.0715,0.8646,13
FOSL1,13,0.5912,0.03335277382275234,0.0596,0.8615,14
NFKB1,13,0.3187,0.2885831614447202,-0.2818,0.7398,15
RELA,13,0.2033,0.5053147342962486,-0.3915,0.6783,16
