gene,rho,pvalue,direction
CCL2,0.07509881422924902,0.7397738044450592,flat
CXCL1,-0.1993224167137211,0.37383975032592687,flat
CXCL2,0.010728402032749858,0.9622067945199976,flat
CXCL3,-0.30095990965556185,0.1735037777241619,negative
CXCL6,-0.45567476002258617,0.03307006765919109,negative
IL6,-0.4703557312252965,0.027168310320796737,negative
CXCL8,-0.3822699040090345,0.07913423131078041,negative
SERPINE1,0.2648221343873518,0.23364124157867966,positive
MMP1,-0.43986448334274425,0.040511430908051246,negative
MMP3,-0.3235460191981932,0.14187949365461486,negative
PLAU,0.15415019762845852,0.493384628947119,flat
PLAUR,-0.033314511575381144,0.8829914722792039,flat
