cohort_id,signature,NES_gseapy,ES_gseapy,p_gene_perm,p_sig_rand,observed_es,observed_nes_local,fdr_q,leading_edge_n,signature_size_effective,compartment,direction
MoTrPAC_24hr,Vascular_UP,-1.6444002445499857,-0.3987274612790289,0.0029940119760479,0.0039960039960039,-0.398727461278999,-1.7317316951951034,0.0246913580246913,25,82,Vascular,UP
MoTrPAC_24hr,MuSC_UP,-1.2432051890606108,-0.3041662928225219,0.1026392961876832,0.1288711288711288,-0.3041662928224792,-1.3287067132912638,0.3296296296296296,14,89,MuSC,UP
MoTrPAC_24hr,FAP_DOWN,1.058876542606513,0.2793283853071658,0.3534482758620689,0.2397602397602397,0.2793283853071698,1.0902227234401205,0.3635220125786163,16,87,FAP,DOWN
MoTrPAC_24hr,MuSC_DOWN,-0.9371410337708428,-0.2330364902748458,0.5798045602605864,0.5834165834165834,-0.2330364902747802,-0.9959389038700048,0.954732510288066,18,81,MuSC,DOWN
MoTrPAC_24hr,Vascular_DOWN,-0.8463927658145841,-0.1943000479066741,0.8390092879256966,0.8811188811188811,-0.194300047906695,-0.8469416693222864,0.95679012345679,14,88,Vascular,DOWN
MoTrPAC_24hr,FAP_UP,-0.5138078912033048,-0.1799386520986838,0.9783653846153846,0.962037962037962,-0.1799386520986979,-0.7317410983762223,0.9955555555555556,9,64,FAP,UP
GSE8479,FAP_DOWN,-1.070244942370507,-0.33905563879273093,0.3641851106639839,0.38161838161838163,-0.339055638792656,-1.0712415273392233,0.46241170534813314,21,73,FAP,DOWN
GSE8479,MuSC_DOWN,-1.366040526203848,-0.43499637168586014,0.036734693877551024,0.04595404595404595,-0.4349963716857887,-1.357925329372218,0.0610494450050454,26,62,MuSC,DOWN
GSE8479,MuSC_UP,-0.9552592815576854,-0.3014932789734872,0.5935613682092555,0.6103896103896104,-0.30149327897345596,-0.95227466094269,0.5983854692230071,15,78,MuSC,UP
GSE8479,Vascular_DOWN,-1.8985720093453742,-0.595139484215502,0.0,0.000999000999000999,-0.5951394842156184,-1.8771798070098726,0.0,42,77,Vascular,DOWN
GSE8479,Vascular_UP,-1.2483809065799436,-0.3990929185010955,0.1028225806451613,0.0899100899100899,-0.39909291850097306,-1.2622390489868045,0.16111671712075346,24,68,Vascular,UP
