compartment,country,N,age_range,metric,test,estimate,CI_lower,CI_upper,p_value,R2,effect_size,n_young,n_old
Vascular,Pooled,23,15-99,JUNB,OLS,0.007669269385950169,-0.007645362415548607,0.022983901187448946,0.30951798037573197,0.04911014164093286,,,
Vascular,Pooled,23,15-99,JUNB,Spearman,0.03697270926767747,-0.3810365521723852,0.44243211777277847,0.8669896969074844,,,,
Vascular,Pooled,23,15-99,SASP12,OLS,0.0010027439802790955,-0.0011952105531519632,0.0032006985137101544,0.35353665432342496,0.04110184402862249,,,
Vascular,Pooled,23,15-99,SASP12,Spearman,0.1693072626358761,-0.26111803364675,0.5435740464784006,0.4399432136685203,,,,
Vascular,China,14,15-84,JUNB,OLS,0.01781885238657699,-0.001021218420823325,0.0366589231939773,0.061693261414428546,0.26138076018122514,,,
Vascular,China,14,15-84,JUNB,Spearman,0.4589980976347002,-0.09462619315331101,0.7957778544514978,0.09875221186520337,,,,
Vascular,China,14,15-84,SASP12,OLS,0.001871094001087172,-0.001354168126471147,0.005096356128645491,0.23022828260080613,0.11749919491416438,,,
Vascular,China,14,15-84,SASP12,Spearman,0.3436942276974808,-0.228565890608832,0.7394328845998539,0.22890816345352993,,,,
Vascular,China_MWU,14,young(15-34)_vs_old(79-84),JUNB,MannWhitney,6.0,,,0.02897102897102897,,0.7333333333333334,5.0,9.0
Vascular,China_MWU,14,young(15-34)_vs_old(79-84),SASP12,MannWhitney,9.0,,,0.08291708291708291,,0.6,5.0,9.0
Vascular,Spain,9,17-99,JUNB,OLS,0.0011750086769019585,-0.0022607852113451492,0.004610802565149066,0.44531044172973466,0.08544092546683113,,,
Vascular,Spain,9,17-99,JUNB,Spearman,0.13561270072416207,-0.5808195553807113,0.7336586604307256,0.7279311027906801,,,,
Vascular,Spain,9,17-99,SASP12,OLS,0.0006734148029701294,-0.0007442227957590775,0.0020910524016993365,0.2983698007926481,0.15271766107970508,,,
Vascular,Spain,9,17-99,SASP12,Spearman,0.41666666666666663,-0.3421277296549483,0.8465369023410485,0.26458604674749614,,,,
MuSC,Pooled,23,15-99,JUNB,OLS,0.004742375479642493,-0.011300724453698313,0.020785475412983298,0.5453314468306413,0.017677285942404142,,,
MuSC,Pooled,23,15-99,JUNB,Spearman,-0.005020444715748749,-0.4163609876477066,0.40802611641203984,0.9818620161175199,,,,
MuSC,Pooled,23,15-99,SASP12,OLS,-0.00024456149691366903,-0.0017489468888828733,0.0012598238950555353,0.7386638991899633,0.00541310920411453,,,
MuSC,Pooled,23,15-99,SASP12,Spearman,-0.17263758508043214,-0.545986495185227,0.2579184798741438,0.4308657509334699,,,,
MuSC,China,14,15-84,JUNB,OLS,0.012705306404434936,-0.006951770030811922,0.03236238283968179,0.18442850727168975,0.14182895199566914,,,
MuSC,China,14,15-84,JUNB,Spearman,0.3281725528982397,-0.2450808217435582,0.7313995701770409,0.2519976862905572,,,,
MuSC,China,14,15-84,SASP12,OLS,-0.00010676221215951055,-0.002372671732611628,0.0021591473082926064,0.9199295948514046,0.0008774600611385353,,,
MuSC,China,14,15-84,SASP12,Spearman,-0.0509997886260778,-0.5662567005242553,0.49291779459647445,0.8625385905256262,,,,
MuSC,China_MWU,14,young(15-34)_vs_old(79-84),JUNB,MannWhitney,10.0,,,0.11188811188811189,,0.5555555555555556,5.0,9.0
MuSC,China_MWU,14,young(15-34)_vs_old(79-84),SASP12,MannWhitney,18.0,,,0.6063936063936064,,0.19999999999999996,5.0,9.0
MuSC,Spain,9,17-99,JUNB,OLS,0.0015344351077898964,-0.0023340392063495793,0.005402909421929372,0.3795048212493111,0.11164297431371473,,,
MuSC,Spain,9,17-99,JUNB,Spearman,0.37625606633113623,-0.3837593625716795,0.8323822470397286,0.3182624239694385,,,,
MuSC,Spain,9,17-99,SASP12,OLS,0.00011595494696799207,-0.0001467279961957391,0.00037863789013172324,0.3312764365331213,0.1346839417118013,,,
MuSC,Spain,9,17-99,SASP12,Spearman,0.27386127875258304,-0.47701938975487873,0.7936382651798475,0.47579723851802413,,,,
