donor_left_out,rho_jackknife,N_remaining
OM1,0.7795560245313027,22
OM2,0.7772167716444872,22
OM3,0.7713686394274482,22
OM4,0.7748775187576716,22
OM5,0.7947611682956042,22
OM6,0.7912522889653808,22
OM7,0.8134751913901292,22
OM8,0.7818952774181185,22
OM9,0.801778926956051,22
P17,0.8012775067470813,22
P21,0.8111359385033137,22
P23,0.8140053805004646,22
P26,0.8012775067470813,22
P27,0.8140053805004646,22
P29,0.8064843641916472,22
P3,0.8824831515511896,22
P32,0.7902852521418867,22
P5,0.8012775067470813,22
YM1,0.772538265870856,22
YM2,0.8012775067470813,22
YM3,0.8140053805004646,22
YM4,0.7772167716444872,22
YM5,0.7748775187576716,22
