cluster,gene,score,pval,log2fc
0,RALGAPA2,10.553,4.9153261926271605e-26,1.268
0,HERC2P2,10.107,5.1483192423198666e-24,1.188
0,ADAMTS9-AS2,10.014,1.3180996541622712e-23,1.624
0,DLEU2,9.297,1.4395601660318832e-20,1.168
0,LINC02388,9.295,1.478625883507798e-20,2.067
0,WSB1,9.082,1.0627924672906737e-19,0.905
0,MECOM,8.919,4.6933090990985725e-19,0.71
0,MAGI1,8.69,3.615107386844859e-18,0.831
0,RBMS3,8.605,7.652955801459485e-18,0.728
0,PPP3CA,8.439,3.197314074528097e-17,0.983
1,WSB1,9.02,1.883797318413273e-19,1.344
1,FOS,8.452,2.8739487248241044e-17,4.147
1,EXOC6,7.182,6.875122531899648e-13,1.364
1,WWTR1,6.465,1.0115426131876092e-10,1.414
1,CAMK2D,6.395,1.603459223965892e-10,1.363
1,RHOJ,6.312,2.7621186974843083e-10,1.57
1,PLSCR1,6.112,9.818734296137788e-10,1.61
1,JUNB,6.059,1.3658308836329597e-09,3.01
1,PKP4,6.033,1.6096419970388058e-09,0.848
1,ZFP36,5.895,3.754316089498404e-09,3.28
2,CLDN5,8.01,1.1505035123285312e-15,2.677
2,RASGEF1B,7.952,1.84093510444612e-15,2.683
2,XIST,7.254,4.0344009951608834e-13,3.556
2,MTATP6P1,6.478,9.276679250394332e-11,2.824
2,SLC26A3,6.165,7.034150885905652e-10,2.852
2,LINGO1,5.961,2.501571838926126e-09,2.989
2,MT-ND4,4.893,9.953997932461868e-07,1.768
2,MT-ND3,4.818,1.448103561125353e-06,1.986
2,CXCL2,4.7,2.598755420259589e-06,5.276
2,PDLIM1,4.646,3.3806905909749655e-06,1.968
3,FOS,9.815,9.751719896045222e-23,5.41
3,JUNB,7.653,1.9608359465580197e-14,5.778
3,MT-ND3,6.792,1.1082792643191712e-11,2.105
3,ZFP36,6.786,1.1539461628638425e-11,4.729
3,RALGAPA2,6.555,5.5736118413975696e-11,1.601
3,ADAMTSL4-AS1,6.401,1.5460247966279434e-10,2.981
3,MT-ND4L,6.392,1.6385362176753505e-10,2.985
3,ID1,6.29,3.167755510468059e-10,2.955
3,MT-CO1,5.907,3.4859975804902238e-09,1.272
3,EGR1,5.566,2.607773779408517e-08,6.007
