tf	n_targets	n_neuronal_targets	n_immune_targets	neuronal_targets	immune_targets	pre_registered
CTCF	975	14	2	['DRD1', 'DAO', 'ADRA2A', 'KCNMA1', 'PSD3', 'GRIN3A', 'SLC6A4', 'NRG1', 'CACNA1C', 'AKT1', 'GAD1', 'TCF4', 'BDNF', 'DLGAP1']	['NFKB2', 'MYD88']	False
FOXA1	866	10	1	['CACNB2', 'ERBB4', 'HTR4', 'DRD3', 'KCNMA1', 'PSD3', 'RELN', 'CACNA1C', 'PPP3CA', 'GRM7']	['HTR4']	False
EGR1	1001	9	6	['CHRNA7', 'TCF4', 'DGKH', 'SNAP25', 'DRD2', 'OLIG2', 'SYN1', 'PPP1R1B', 'DLG4']	['RELB', 'TNF', 'NFKB1', 'RELA', 'IL6', 'NFKB2']	False
GATA2	690	9	1	['RTN1', 'ERBB4', 'KCNMA1', 'DTNBP1', 'PSD3', 'RELN', 'PPP3CA', 'TCF4', 'GRM7']	['NFKB1']	False
CEBPA	1001	7	6	['CACNB2', 'COMT', 'GSK3B', 'KCNMA1', 'PSD3', 'GRIA1', 'DLGAP1']	['CXCL8', 'BCL2A1', 'SPI1', 'IL10', 'TNFRSF1A', 'IL6']	False
GATA3	785	7	2	['CHRNA7', 'ERBB4', 'KCNMA1', 'PSD3', 'PPP3CA', 'TCF4', 'GRM7']	['IL1RN', 'NFKB1']	False
TP53	597	7	2	['ERBB4', 'PRODH', 'KCNMA1', 'PSD3', 'AKT1', 'NRG1', 'TCF4']	['RELA', 'IL1B']	False
STAT1	1129	6	12	['SLC6A1', 'DTNBP1', 'KCNMA1', 'RGS4', 'TCF4', 'GRM7']	['CD14', 'HLA-DRB1', 'MYD88', 'NFKB1', 'CD180', 'CCL3', 'IL1B', 'CXCL8', 'IL10', 'TNFRSF1A', 'IL6', 'CCL2']	False
SP1	394	6	8	['CHRNA7', 'HTR1A', 'GRIN1', 'KCNMA1', 'SNAP25', 'ADRA1A']	['CD14', 'TNF', 'NFKB1', 'RELA', 'SPI1', 'IL10', 'NFKB2', 'CCL2']	False
TAL1	423	6	1	['KCNMA1', 'NRG1', 'CACNA1C', 'PPP3CA', 'TCF4', 'GRM7']	['NFKB1']	False
FOS	877	5	6	['HTR4', 'CACNA1I', 'KCNMA1', 'PSD3', 'PPP3CA']	['NFKB1', 'CXCL8', 'HTR4', 'IL1B', 'IL6', 'CCL2']	False
ESR1	752	5	1	['ERBB4', 'CACNA1I', 'KCNMA1', 'AKT1', 'GAD2']	['CXCL8']	False
SPI1	599	3	7	['PPP3CA', 'TCF4', 'KCNMA1']	['CD14', 'TLR4', 'TNF', 'NFKB1', 'CD180', 'IL1B', 'BCL2A1']	True
ETS1	979	3	5	['COMT', 'TCF4', 'DLG4']	['TNF', 'NFKB1', 'CXCR4', 'IL10', 'TNFRSF1A']	False
RUNX1	378	3	2	['DGCR8', 'CACNA1C', 'KCNMA1']	['SPI1', 'NFKB1']	False
MITF	667	3	1	['DTNBP1', 'RELN', 'KCNMA1']	['BCL2A1']	False
RELA	243	2	12	['AKT1', 'BDNF']	['TNF', 'NFKB1', 'CXCL8', 'CCL3', 'IL1B', 'BCL2A1', 'CXCR4', 'IL10', 'IL6', 'NFKBIA', 'NFKB2', 'CCL2']	True
NFKB1	250	2	11	['AKT1', 'KCNMA1']	['IL1RN', 'TNF', 'CXCL8', 'CCL3', 'IL1B', 'BCL2A1', 'IL10', 'IL6', 'NFKBIA', 'NFKB2', 'CCL2']	True
CEBPB	90	2	5	['CACNB2', 'DLGAP1']	['TNF', 'CXCL8', 'IL1B', 'IL10', 'IL6']	False
CREB1	120	2	4	['BDNF', 'ADRA1A']	['CXCR4', 'HLA-DQB1', 'IL10', 'IL6']	True
HIF1A	262	2	4	['GRIN1', 'CACNA1C']	['CXCR4', 'TLR4', 'IL1B', 'CCL2']	False
VDR	251	2	4	['PPP3CA', 'TCF4']	['NFKBIA', 'HLA-DRB1', 'IL10', 'TNFRSF1A']	False
TCF7L2	75	2	1	['PSD3', 'KCNMA1']	['CXCL8']	False
JUN	195	1	8	['TCF4']	['RELB', 'TNF', 'CXCL8', 'IL1B', 'SPI1', 'IL6', 'NFKB2', 'CCL2']	False
AR	225	1	2	['AKT1']	['RELA', 'TNFRSF1A']	False
E2F1	706	1	2	['DLG4']	['RELA', 'IL1B']	False
RBPJ	61	1	2	['TCF4']	['CXCR4', 'NFKB1']	False
ATF2	66	1	1	['TCF4']	['TNF']	False
BATF	49	1	1	['KCNMA1']	['NFKB1']	False
FOSL1	54	1	1	['KCNMA1']	['IL6']	False
FOXO1	124	1	1	['NRG1']	['IL1B']	False
JUND	76	1	1	['KCNMA1']	['IL6']	False
MYC	465	1	1	['GSK3B']	['CXCR4']	False
NFATC1	35	1	1	['TCF4']	['NFKB1']	False
POU2F2	87	1	1	['TCF4']	['SPI1']	False
RUNX3	101	1	1	['TCF4']	['CXCR4']	False
