list	stage	a_list_in_stage	b_list_not_stage	c_bg_in_stage	d_bg_not_stage	n_list_in_universe	OR_HA	fisher_p_greater	descriptive_only	holm_q_12cells	OR_HA_stratified_pLI09_bg	fisher_p_greater_stratified
SCHEMA	prenatal	7	3	9177	8667	10	2.0237770946024827	0.1964412982742849	True		1.2793280577537138	0.45055690866693543
SCHEMA	early_postnatal	1	9	3572	14272	10	0.6308054951935472	0.8928586995660472	True		1.3594952293013234	0.6667717850829997
SCHEMA	adult	2	8	5095	12749	10	0.7359146190121618	0.8268139937848799	True		0.7952888142484642	0.7978605803090519
ASD_FDR10	prenatal	65	31	9177	8667	96	1.9638133288364832	0.0009254616475532029	False	0.0074036931804256235	1.2414220412276777	0.1834269195852036
ASD_FDR10	early_postnatal	9	87	3572	14272	96	0.43375387383784864	0.9984727225106088	False	1.0	0.9348148148148148	0.6764465063579719
ASD_FDR10	adult	22	74	5095	12749	96	0.7556707161668508	0.9111493610290466	False	1.0	0.8166388495303022	0.8416174316397462
DDD_Kaplanis	prenatal	182	87	9177	8667	269	1.9698097054130832	6.222687977939742e-08	False	5.600419180145767e-07	1.2452126428802814	0.058619011228697684
DDD_Kaplanis	early_postnatal	18	251	3572	14272	269	0.29387426316836557	0.9999999997252185	False	1.0	0.633349997481001	0.9826238633501752
DDD_Kaplanis	adult	69	200	5095	12749	269	0.8673148352746824	0.8680453808632085	False	1.0	0.9372905077651477	0.7040617783730152
Heyne_DEE	prenatal	15	18	9177	8667	33	0.7912786117634932	0.805149952655195	False	1.0	0.5002057451037043	0.9849847540518738
Heyne_DEE	early_postnatal	2	31	3572	14272	33	0.3170715452031057	0.9941523326721236	False	1.0	0.6833441628763266	0.8703638609274038
Heyne_DEE	adult	16	17	5095	12749	33	2.359132007233273	0.012110050766509757	False	0.0847703553655683	2.549468713105077	0.007190423775561687
