assignment	list	tier	tier_size_in_universe	list_in_tier_n	list_in_tier_pli_high	bg_in_tier_n	bg_in_tier_pli_high	OR_HA	fisher_p_greater	descriptive_only_n_lt_5
exclusive	SCHEMA	glutamate_receptor	30	1	1	29	16	2.4545454545454546	0.5666666666666667	True
exclusive	SCHEMA	ion_channel	252	1	1	251	47	12.91578947368421	0.19047619047619047	True
exclusive	SCHEMA	synaptic_residual	1372	1	1	1371	599	3.865721434528774	0.43731778425655976	True
exclusive	SCHEMA	chromatin_TF	1542	1	1	1541	434	7.646720368239356	0.2821011673151751	True
exclusive	SCHEMA	kinase	441	0	0	441	124	2.5502008032128516	1.0	True
exclusive	SCHEMA	mitochondrial	247	0	0	247	8	28.176470588235293	1.0	True
exclusive	ASD_FDR10	glutamate_receptor	30	2	2	28	15	4.354838709677419	0.3126436781609195	True
exclusive	ASD_FDR10	ion_channel	252	6	6	246	42	62.55294117647059	3.663264866085877e-05	False
exclusive	ASD_FDR10	synaptic_residual	1372	19	15	1353	585	4.521017174304962	0.0018254197086597613	False
exclusive	ASD_FDR10	chromatin_TF	1542	16	13	1526	422	10.083347421808961	1.4508051352693979e-05	False
exclusive	ASD_FDR10	kinase	441	5	5	436	119	29.225941422594143	0.0016570740260089419	False
exclusive	ASD_FDR10	mitochondrial	247	0	0	247	8	28.176470588235293	1.0	True
exclusive	DDD_Kaplanis	glutamate_receptor	30	4	3	26	14	2.0114942528735633	0.4094143404488233	True
exclusive	DDD_Kaplanis	ion_channel	252	16	12	236	36	15.25875190258752	6.638194485635867e-07	False
exclusive	DDD_Kaplanis	synaptic_residual	1372	54	49	1318	551	12.524932003626473	1.8214089103277518e-13	False
exclusive	DDD_Kaplanis	chromatin_TF	1542	47	44	1495	391	35.86954935230797	8.60925052458375e-22	False
exclusive	DDD_Kaplanis	kinase	441	13	12	428	112	23.444444444444443	1.6177223903558448e-06	False
exclusive	DDD_Kaplanis	mitochondrial	247	0	0	247	8	28.176470588235293	1.0	True
exclusive	Heyne_DEE	glutamate_receptor	30	1	1	29	16	2.4545454545454546	0.5666666666666667	True
exclusive	Heyne_DEE	ion_channel	252	5	4	247	44	13.719101123595506	0.005088453028151676	False
exclusive	Heyne_DEE	synaptic_residual	1372	10	10	1362	590	27.472480948348856	0.0002451903474318928	False
exclusive	Heyne_DEE	chromatin_TF	1542	0	0	1542	435	2.543053960964409	1.0	True
exclusive	Heyne_DEE	kinase	441	1	1	440	123	7.712550607287449	0.2811791383219954	True
exclusive	Heyne_DEE	mitochondrial	247	0	0	247	8	28.176470588235293	1.0	True
